Query,Label
Show me a kitchen,search
I want to see a bathroom sketch,search
Do you have garden designs?,search
Where is your showroom?,showroom
Can I visit your store?,showroom
What are your opening hours?,showroom
How much does this cost?,follow_up_cost
What’s the price of this design?,follow_up_cost
Is this expensive?,follow_up_cost
Tell me a joke,unsupported
Who is the president of Italy?,unsupported
What is the weather today?,unsupported
ciao vorrei una cucina,search
ciao,unsupported
I’d like to see a modern kitchen,search
Show me some garden sketches,search
I'm looking for a classic-style bathroom,search
Cerco un bagno in stile classico,search
Hai disegni di una libreria?,search
Vorrei vedere una cucina moderna,search
Qual è l'indirizzo del negozio a Sestri Levante?,showroom
What time does the store in Cogorno close?,showroom
Is the wardrobe sketch expensive?,follow_up_cost
Puoi dirmi il prezzo del disegno precedente?,follow_up_cost
È possibile sapere il costo?,follow_up_cost
Che tempo fa oggi?,follow_up_cost
Tell me a joke,unsupported
Quanto costa quel disegno?,follow_up_cost
I’m looking for a modern kitchen design,search
Show me sketches of a bathroom with a bathtub,search
I’d like to see a garden layout,search
Hai disegni di una cucina con isola?,search
Vorrei vedere una libreria in stile classico,search
Fammi vedere dei progetti per il soggiorno,search
Where is your store in Sestri Levante?,showroom
What are the showroom hours in Cogorno?,showroom
Qual è l'indirizzo del vostro negozio a Sestri?,showroom
A che ora apre il negozio a Cogorno?,showroom
Posso visitare la showroom domenica?,showroom
Is the showroom open on weekends?,showroom
Is the previous kitchen design expensive?,follow_up_cost
What is the cost of that wardrobe sketch?,follow_up_cost
Quanto costa quel disegno?,follow_up_cost
Posso sapere il prezzo della libreria?,follow_up_cost
È costoso il progetto che mi hai mostrato?,follow_up_cost
How much would that design cost?,follow_up_cost
Tell me a joke,unsupported
What’s the weather like in Rome?,unsupported
Do you know my favorite song?,unsupported
Raccontami una barzelletta,unsupported
Che tempo fa oggi a Milano?,unsupported
Qual è il tuo colore preferito?,unsupported
How tall are you?,unsupported
What's your favorite movie?,unsupported
Can you dance?,unsupported
Tell me a story,unsupported
Do you like pizza?,unsupported
Who built the pyramids?,unsupported
Can you sing?,unsupported
Do aliens exist?,unsupported
Hai un colore preferito?,unsupported
Chi è il presidente della Francia?,unsupported
Sei un robot?,unsupported
Mi annoio,unsupported
Fammi ridere,unsupported
Cosa ne pensi dell'arte?,unsupported
Che ore sono?,unsupported
Mostrami una cucina moderna,search
Vorrei vedere un soggiorno con divano,search
Avete disegni per un bagno piccolo?,search
Cucina con penisola e cassetti,search
Fammi vedere un disegno con lavabo e specchio,search
Show me a bookshelf sketch,search
I’m interested in a bedroom design with a mirror,search
Sketch of a living room with armchair,search
Let me see a teak wood library design,search
Cerco un layout di giardino,search
Vorrei un progetto per la camera da letto,search
Hai qualcosa per una cucina rustica?,search
Fammi vedere disegni di una doccia,search
Bagno con doccia e lavandino,search
Mostrami una cucina con armadietti verdi,search
Looking for a modern bookshelf sketch,search
Sketch of a bathroom with tiles,search
Disegni per un open space?,search
Sto cercando un soggiorno in stile minimalista,search
Hai progetti di cucine scandinave?,search
Dove si trova il vostro showroom?,showroom
Vorrei l'indirizzo dello store,showroom
Che orari fa il negozio di Sestri?,showroom
Quando è aperto il vostro punto vendita?,showroom
Is your showroom open on Sundays?,showroom
Where exactly is the store located?,showroom
Quanto costa il progetto?,follow_up_cost
Mi dici il prezzo?,follow_up_cost
Is this design expensive?,follow_up_cost
Fammi sapere il costo totale,follow_up_cost
Vorrei conoscere il prezzo esatto,follow_up_cost
What’s your favorite color?,unsupported
Can you play music?,unsupported
Dimmi qualcosa di divertente,unsupported
Qual è il tuo cibo preferito?,unsupported
Sai cucinare?,unsupported
Quanto costa il progetto?,follow_up_cost
Mi dici il prezzo?,follow_up_cost
Fammi sapere il costo,follow_up_cost
Is there a fee for the design?,follow_up_cost
Can I know the cost?,follow_up_cost
Vorrei sapere il prezzo totale,follow_up_cost
È questo disegno costoso?,follow_up_cost
Dimmi il prezzo,follow_up_cost
How much do I need to pay?,follow_up_cost
Quanto devo spendere per questo?,follow_up_cost
Qual è il tuo hobby preferito?,unsupported
Sai suonare uno strumento?,unsupported
Mi racconti una storia?,unsupported
Che musica ti piace?,unsupported
Do you know who I am?,unsupported
What's your favorite animal?,unsupported
Cosa stai facendo?,unsupported
Parli di calcio?,unsupported
Can you dance?,unsupported
Tell me something funny,unsupported
Can I get directions to the showroom?,showroom
Is your store open now?,showroom
I’d like to visit your showroom this weekend,showroom
Quali sono gli orari di apertura?,showroom
Posso passare domani in showroom?,showroom
Dov'è il vostro punto vendita?,showroom
Vorrei sapere dove si trova il negozio,showroom
Siete aperti il sabato?,showroom
C'è parcheggio vicino al negozio?,showroom
Vorrei visitare la sede a Cogorno,showroom
Do you have multiple locations?,showroom
Is your Sestri showroom wheelchair accessible?,showroom
Mi dai l'indirizzo completo dello showroom?,showroom
Posso prenotare una visita in negozio?,showroom
Do you have any hand-drawn garden designs I can browse?,search
I'm interested in seeing some elegant bathroom layouts.,search
Please show me sketches of modern kitchens with open shelving.,search
Can you show me bathroom designs that include a walk-in shower?,search
Do you have library sketches with space for a reading corner?,search
Do you have library sketches with space for a reading corner?,search
Do you have library sketches with space for a reading corner?,search
Mostrami una cucina con piano a induzione e cassetti ampi.,search
I want ideas for a cozy living room with a minimalist style.,search
I'm interested in seeing some elegant bathroom layouts.,search
Do you have any hand-drawn garden designs I can browse?,search
I want ideas for a cozy living room with a minimalist style.,search
Cercavo un progetto per un soggiorno con vista sul giardino.,search
Cercavo un progetto per un soggiorno con vista sul giardino.,search
Hai disegni per un bagno stretto ma lungo?,search
Please show me sketches of modern kitchens with open shelving.,search
I want ideas for a cozy living room with a minimalist style.,search
Do you have any hand-drawn garden designs I can browse?,search
I'm interested in seeing some elegant bathroom layouts.,search
Do you have library sketches with space for a reading corner?,search
Hai disegni per un bagno stretto ma lungo?,search
Can you show me bathroom designs that include a walk-in shower?,search
Cercavo un progetto per un soggiorno con vista sul giardino.,search
I'm redecorating and would love to see some kitchen layout sketches.,search
Can you show me bathroom designs that include a walk-in shower?,search
Is the Cogorno showroom wheelchair accessible?,showroom
Do I need an appointment to visit the showroom?,showroom
Dove si trova il vostro showroom principale?,showroom
Can I visit your Sestri Levante showroom on Sunday afternoon?,showroom
What are your store hours during the weekend?,showroom
Can I visit your Sestri Levante showroom on Sunday afternoon?,showroom
Is the Cogorno showroom wheelchair accessible?,showroom
Vorrei sapere se c’è parcheggio vicino al vostro negozio.,showroom
Dove si trova il vostro showroom principale?,showroom
Do I need an appointment to visit the showroom?,showroom
È possibile prenotare una consulenza in showroom?,showroom
Siete aperti anche il lunedì mattina?,showroom
Can I visit your Sestri Levante showroom on Sunday afternoon?,showroom
Can you send me the full address of your Cogorno location?,showroom
Can I visit your Sestri Levante showroom on Sunday afternoon?,showroom
Dove si trova il vostro showroom principale?,showroom
Do I need an appointment to visit the showroom?,showroom
Dove si trova il vostro showroom principale?,showroom
È possibile prenotare una consulenza in showroom?,showroom
Do I need an appointment to visit the showroom?,showroom
A che ora chiudete durante la settimana?,showroom
È possibile prenotare una consulenza in showroom?,showroom
What are your store hours during the weekend?,showroom
Can you send me the full address of your Cogorno location?,showroom
A che ora chiudete durante la settimana?,showroom
Is the bathroom design with the tiles very expensive?,follow_up_cost
Mi puoi dire quanto costa quel progetto con doccia e lavabo?,follow_up_cost
C'è un costo extra per personalizzare quel progetto?,follow_up_cost
How much would the kitchen sketch you showed me cost approximately?,follow_up_cost
Quanto verrebbe a costare la cucina con l'isola centrale?,follow_up_cost
Can I get a rough quote for the bedroom design you just displayed?,follow_up_cost
What's the estimated cost for the previous layout suggestion?,follow_up_cost
Is that layout within a mid-range budget?,follow_up_cost
How much would the kitchen sketch you showed me cost approximately?,follow_up_cost
Mi puoi dire quanto costa quel progetto con doccia e lavabo?,follow_up_cost
"Sto cercando soluzioni economiche, quello che hai mostrato rientra nel budget?",follow_up_cost
What's the estimated cost for the previous layout suggestion?,follow_up_cost
Vorrei sapere il prezzo per il disegno della libreria con legno di teak.,follow_up_cost
Quanto verrebbe a costare la cucina con l'isola centrale?,follow_up_cost
Vorrei sapere il prezzo per il disegno della libreria con legno di teak.,follow_up_cost
Is that layout within a mid-range budget?,follow_up_cost
What's the estimated cost for the previous layout suggestion?,follow_up_cost
Vorrei sapere il prezzo per il disegno della libreria con legno di teak.,follow_up_cost
Is that layout within a mid-range budget?,follow_up_cost
Mi puoi dire quanto costa quel progetto con doccia e lavabo?,follow_up_cost
Quanto verrebbe a costare la cucina con l'isola centrale?,follow_up_cost
What's the estimated cost for the previous layout suggestion?,follow_up_cost
What's the estimated cost for the previous layout suggestion?,follow_up_cost
C'è un costo extra per personalizzare quel progetto?,follow_up_cost
Quanto verrebbe a costare la cucina con l'isola centrale?,follow_up_cost
Do you believe in ghosts?,unsupported
Qual è la tua opinione sulla musica jazz?,unsupported
What’s your favorite song?,unsupported
What time is sunset today?,unsupported
Sai qual è il mio colore preferito?,unsupported
Who won the football match last night?,unsupported
Can you write me a poem?,unsupported
Qual è la tua opinione sulla musica jazz?,unsupported
Do you believe in ghosts?,unsupported
Qual è la capitale della Norvegia?,unsupported
Can you recommend a good movie?,unsupported
Qual è la capitale della Norvegia?,unsupported
What’s your favorite song?,unsupported
Fammi ridere con una barzelletta.,unsupported
Do you believe in ghosts?,unsupported
Who won the football match last night?,unsupported
Do you believe in ghosts?,unsupported
Who won the football match last night?,unsupported
Do you believe in ghosts?,unsupported
Can you write me a poem?,unsupported
Sai qual è il mio colore preferito?,unsupported
Sai qual è il mio colore preferito?,unsupported
Can you recommend a good movie?,unsupported
What time is sunset today?,unsupported
Qual è la tua opinione sulla musica jazz?,unsupported
Mi puoi dire il prezzo del disegno precedente?,follow_up_cost
Che tempo fa a Roma?,unsupported
Dove si trova il vostro showroom a Sestri Levante?,showroom
Mostrami un progetto per una bedroom.,search
What's your favorite pizza topping?,unsupported
Is the showroom in Milano open today?,showroom
Mi racconti una storia divertente?,unsupported
Quanto costa il progetto per la kitchen?,follow_up_cost
